Title,Description,Caller,Assignment group
login issue, verified user details employee  manager name checked the user name ad and reset the password advised the user login and check caller confirmed that was able login issue resolved ,spxjnwir pjlcoqds,GRP_0
outlook,   hello team meetings skype meetings etc are not appearing my outlook calendar can somebody please advise how correct this kind ,hmjdrvpb komuaywn,GRP_0
cant log to vpn,   cannot log to vpn best ,eylqgodm ybqkwiam,GRP_0
unable access tool page,unable access tool page,xbkucsvz gcpydteq,GRP_0
skype error ,skype error ,owlgqjme qhcozdfx,GRP_0
unable log to engineering tool and skype,unable log to engineering tool and skype,eflahbxn ltdgrvkz,GRP_0
event critical hostname  company com the value mountpoint threshold for oracle sid  erpdata  ,event critical hostname  company com the value mountpoint threshold for oracle sid  erpdata psa  psa data perpsr psa  ,jyoqwxhz clhxsoqy,GRP_1
ticket employment status  new non employee enter user name ,ticket employment status  new non employee enter user name ,eqzibjhw ymebpoih,GRP_0
unable disable add ins outlook,unable disable add ins outlook,mdbegvct dbvichlg,GRP_0
ticket update inplant ,ticket update inplant ,fumkcsji sarmtlhy,GRP_0
engineering tool says not connected and unable submit reports,engineering tool says not connected and unable submit reports,badgknqs xwelumfz,GRP_0
hr tool site not loading page correctly,hr tool site not loading page correctly,dcqsolkx kmsijcuz,GRP_0
unable login hr tool sgxqsuojr xwbesorf cards,unable login hr tool sgxqsuojr xwbesorf cards,oblekmrw qltgvspb,GRP_0
user wants reset the password,user wants reset the password,iftldbmu fujslwby,GRP_0
unable open payslips ,unable open payslips ,epwyvjsz najukwho,GRP_0
ticket update inplant ,ticket update inplant ,fumkcsji sarmtlhy,GRP_0
unable login company vpn,  from  am unable login company vpn website trying open new session using the below link but not able get through pls help urgently we are working from home tomorrow due month end closing ,chobktqj qdamxfuc,GRP_0
when undocking  screen will not come back,when undocking  screen will not come back,sigfdwcj reofwzlm,GRP_3
erp sid account locked,erp sid account locked,nqdyowsm yqerwtna,GRP_0
unable sign into vpn,unable sign into vpn,ftsqkvre bqzrupic,GRP_0
unable check payslips,unable check payslips,mrzgjdal whnldmef,GRP_0
vpn issue,   hello helpdesk not able connect vpn from home office couple hours ago was connected now is not working anymore getting message that session expired but click the link nothing happens  need help with your dynamics crm click here chat with live agent regarding your dynamics crm questions now click here best ,ugephfta hrbqkvij,GRP_0
unable connect vpn,unable connect vpn,pfmcnahv ofzlusri,GRP_0
user called for vendor phone number,user called for vendor phone number,fumkcsji sarmtlhy,GRP_0
vpn not working,  from  hello m not being able connect company network through the vpn pls check sir not being able upload result no company network ,dceoufyz saufqkmd,GRP_0
erp sid password reset ,erp sid password reset ,jqhtkfsm xoehtbnl,GRP_0
unable login hr tool check payslips,unable login hr tool check payslips,dtisfuyp fpvrjlkz,GRP_0
account locked out,account locked out,lduqxywt wcydjgvl,GRP_0
unable login hr tool,unable login hr tool,mwebfhdz csndrxgi,GRP_0
unable log to erp sid ,unable log to erp sid ,hvskpglx bpsfxmon,GRP_0
password reset for collaboration platform,password reset for collaboration platform,wrlzneit ayqutwgh,GRP_0
reset users,hi please reset users password client  username  xyz ,qcehailo wqynckxg,GRP_0
duplication network address ,  from  gentles have two devices that are trying share ip address they are trying share     one printer with the hostname prtjc  and the other new display for erp the display using dhcp get its address assigned and the printer hard coded guess that the address    did not get set static address dhcp need this corrected the display will pick another address ,kxsceyzo naokumlb,GRP_4
ess password reset,ess password reset,fsqwkbez eudsantq,GRP_0
unable install flash player,unable install flash player,xzbhmfpg bhqxesym,GRP_0
ticket employment status  new non employee ,ticket employment status  new non employee ,eqzibjhw ymebpoih,GRP_0
erp sid account unlock and password reset,erp sid account unlock and password reset,ztlvkmyi xldyitwz,GRP_0
unable resolve ticket assigned self,the status button dierppearing after few seconds ,shloyakw jztsxdln,GRP_0
installing engineering tool,need install engineering tool the pc,qcxivzag vyucbagx,GRP_0
call for ecwtrjnq jpecxuty,call for ecwtrjnq jpecxuty,olckhmvx pcqobjnd,GRP_0
ticket update  inplant ,ticket update  inplant ,olckhmvx pcqobjnd,GRP_0
tablet sound not working,tablet sound not working,eqxakzyi cwfrjitq,GRP_0
unable login system,unable login system,zcaeryfo tdovhslb,GRP_0
please reroute jobs printer printer issue needs be resolved today,  from   the printer printer not working and needs part replaced  can you reroute the jobs queue printer printer   wihuyjdo qpogfwkb has indicated that prqos needs new part and may not deliver for few days the inwarehouse tools will need print printer for now  this needs be taken care today since the inwarehouse tools are printed and are picked by outside vendor  in usa daily basis  please contact dkmcfreg anwmfvlgenkataramdntyana you have questions about the jobs queue for today ,yisohglr uvteflgb,GRP_5
unable login hr tool etime,unable login hr tool etime,wxdrynag hlktazfm,GRP_0
can not log into tool etime through single sign portal,can not log into tool etime through single sign portal,wpdxlbhz etvzjmhx,GRP_0
password changed password management tool but didnt update for erp account,password changed password management tool but didnt update for erp account,lduqxywt wcydjgvl,GRP_0
job job failed job scheduler      ,  job job failed job scheduler      ,bpctwhsn kzqsbmtp,GRP_6
